Janeiro,,,,fevereiro,,,,março,,,,abril,,,,maio,,,,junho,,,,julho,,,,agosto,,,,setembro,,,,outubro,,,,novembro,,,,dezembro,,,
"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 0,00",,,,"R$ 35.736,30",,,,"R$ 43.813,20",,,
1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,6,Folha de Pagamento,"R$ 4.634,78",Pago,3,Provento Ana Laura,"R$ 1.500,00",Pago
2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Luz medidor 2 ,"R$ 258,46",Pago,,,,
3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,10,Água ,"R$ 188,22",Pago,5,Folha de Pagamento,"R$ 4.137,64",Pago
4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,10,Associação comercial,"R$ 280,00",Pago,5,Honorários Thomas,"R$ 3.284,00",Pago
5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,10,Colabore,"R$ 70,00",Pago,5,Faculdade ,"R$ 3.559,22",Pago
6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,10,SAFF ,"R$ 114,58",Pago,5,Comissão Funcionária Carol,"R$ 321,80",Pago
7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,10,Cheque Especial,"R$ 275,77",Pago,5,Comissão Funcionária Letícia,"R$ 309,26",Pago
8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,10,Comissão Funcionária Carol,"R$ 400,00",Pago,,,,
9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,,,,10,Comissão Funcionária Letícia,"R$ 400,00",Pago,,,,
10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,Seguro Vida,"72,72",Pago,9,Provento Isa,"R$ 3.500,00",Pago
11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,10,Carro Ana Laura,"R$ 1.660,09",Pago,,,,
12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,,,,10,Formatura Ana Laura,"R$ 167,07",Pago,,,,
13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,10,Seguro Loja 2,"R$ 91,71",Pago,10,Seguro Vida,"R$ 72,72",Pago
14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,10,Tarifa Sicoob,"R$ 39,00",Pago,10,Carro Ana Laura,"R$ 1.660,09",Pago
15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,,,,Pago,10,Formatura Ana Laura,"R$ 167,07",Pago
16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,,,,11,TAC Sicredi,"R$ 500,00",Pago,10,Luz medidor 2 ,"R$ 286,79",Pago
17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,,,,11,Juros cheque especial,"R$ 45,10",Pago,10,Associação comercial,"R$ 280,00",Pago
18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,,,,11,Cartao Sicoob,"R$ 2.797,08",Pago,10,Colabore,"R$ 130,00",Pago
19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,,,,11,Sistema ,"R$ 219,68",Pago,10,SAFF ,"R$ 114,58",Pago
20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,,,,11,Capital Social Sicoob,"R$ 2.000,00",Pago,10,Cheque Especial,"R$ 0,00",Em aberto
21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,21,,,,,,,,10,Seguro Loja 2,"R$ 91,71",Pago
22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,22,,,,13,Cartao Sicredi,"R$ 585,00",Pago,10,Honorários Contabilidade,"R$ 440,00",Pago
23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,23,,,,13,Darfs Atrasada,"R$ 1.946,51",Pago,10,Aluguel Ap Ana Marli,"R$ 850,00",Pago
24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,24,,,,14,Ônibus ,R$ 500,Pago,10,Inviolável ,"R$ 183,00",Pago
25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,25,,,,,,,,10,unimed atrasada mês 10,"R$ 1.267,06",Pago
26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,26,,,,19,Diarista,R$ 264,Pago,,,,
27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,27,,,,19,DARF ,"R$ 1.116,80",Pago,,,,
28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,28,,,,20,Aluguel ,"R$ 1.365,00",Pago,11,Juros cheque especial,,Em aberto
29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,29,,,,21,Simples Nacional,"R$ 2.309,66",Pago,11,Cartao Sicoob,"R$ 1.484,42",Pago
30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,25,Emprestimo Sicredi,"R$ 4.080,00",Pago,11,Sistema ,"R$ 219,68",Pago
31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,31,,,,25,Seguro Sicoob Loja,"R$ 335,77",Pago,11,Capital Social Sicoob,,Em aberto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Luz medidor 1 ,"R$ 433,30",Pago,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pago,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pago,13,Cartao Sicredi,"R$ 1.489,37",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provento Ana Marli,"R$ 4.350,00",Pago,13,,"R$ 0,00",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provento Ana Laura,"R$ 1.500,00",Pago,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provento Isa,"R$ 3.500,00",Pago,15,Unimed,"R$ 3.983,32",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pago,15,Sindicato dos Empregados,"R$ 72,75",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/11,13° Funcionária Letícia,"R$ 382,62",Pago,17,FGTS atrasado mes 10,"637,76",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/11,13° Funcionária Caroline,"R$ 375,52",Pago,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,DARF 13°,"R$ 307,77",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,FGTS,"R$ 669,19",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,DARF ,"R$ 852,47",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13° LETICIA ,"R$ 472,75",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13° CAROL,"R$ 477,78",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Provento Ana Marli,"R$ 2.650,00",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Aluguel ,"R$ 1.365,00",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Simples Nacional,"R$ 1.640,99",Pago
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
